,,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.
,,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE
,,yen,yen,yen,yen,yen,yen,yen,yen,yen,yen
,,YOKOHAMA RUBBER,FUTURE,FUJIYA,KAJIMA,MITSUBISHI MATERIALS,WOWOW,DAIKIN INDUSTRIES,HONDA MOTOR,YAMATO,KEY COFFEE
,,T5101,T4722,T2211,T1812,T5711,T4839,T6367,T7267,T1967,T2594
,,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange
,,X01,X01,X01,X01,X01,X01,X01,X01,X01,X01
,,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock
,,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
MONTHLY(M),2013/05,2068,239.75,1960,600,3290,1376,4500,3830,337,1540
MONTHLY(M),2013/06,1994,248.5,1880,658,3490,1667.5,4010,3685,363,1546
MONTHLY(M),2013/07,1932,244.5,1890,690,3460,1770,4080,3630,344,1534
MONTHLY(M),2013/08,1734,264.5,1860,702,3850,1680,4740,3545,324,1545
MONTHLY(M),2013/09,1936,295.5,1940,798,4050,1722.5,5210,3735,360,1563
MONTHLY(M),2013/10,1916,287.5,1940,830,3830,1885,5630,3915,357,1557
MONTHLY(M),2013/11,2120,273.5,2000,766,3850,1697.5,6500,4330,348,1573
MONTHLY(M),2013/12,2066,278,1990,790,3880,1787.5,6550,4330,355,1583
MONTHLY(M),2014/01,1848,314.5,1880,764,3490,1727.5,5956,3893,339,1561
MONTHLY(M),2014/02,1980,301,1900,716,3190,1735,5837,3647,344,1573
MONTHLY(M),2014/03,1940,309,1940,724,2930,1840,5782,3634,349,1587
MONTHLY(M),2014/04,1826,302,1870,778,2960,1715,5901,3380,341,1575
MONTHLY(M),2014/05,1800,292,1910,844,3110,1807.5,6065,3563,334,1611
MONTHLY(M),2014/06,1752,296.5,2000,896,3550,1922.5,6392,3537,365,1612
MONTHLY(M),2014/07,1800,276.5,1980,968,3800,2157.5,7180,3654,360,1641
MONTHLY(M),2014/08,1848,283.5,1980,1064,3510,2227.5,7170,3513,366,1645
MONTHLY(M),2014/09,1898,323.5,1970,1050,3550,2237.5,6798,3800,373,1646
MONTHLY(M),2014/10,1976,316.5,1990,984,3430,2377.5,6814,3479,408,1614
MONTHLY(M),2014/11,2184,319.5,2050,938,3730,2600,7875,3571.5,412,1628
MONTHLY(M),2014/12,2210,348.5,1960,998,4020,2515,7810,3526,425,1672
MONTHLY(M),2015/01,2232,323.5,1930,938,3740,2550,8275,3581,426,1696
MONTHLY(M),2015/02,2432,375,1950,1134,4120,3155,7797,3949.5,452,1822
MONTHLY(M),2015/03,2480,364.5,1960,1116,4040,3840,8046,3903,430,1809
MONTHLY(M),2015/04,2578,361.5,1950,1146,4340,3980,8104,4041.5,424,1807
MONTHLY(M),2015/05,2806,367.5,1970,1094,4930,3595,9541,4261,417,1981
MONTHLY(M),2015/06,2458,400,1940,1150,4700,3790,8809,3961.5,415,2050
MONTHLY(M),2015/07,2454,384,1930,1232,4490,3640,8020,3979.5,408,2157
MONTHLY(M),2015/08,2382,354.5,1940,1364,3900,3390,7238,3824,440,2269
MONTHLY(M),2015/09,2101,337.5,1910,1266,3620,3260,6676,3539,419,2023
MONTHLY(M),2015/10,2340,331,1970,1394,4240,3315,7840,4044,479,1940
MONTHLY(M),2015/11,2117,361,2030,1352,4350,3335,8650,4002,494,1944
MONTHLY(M),2015/12,1871,394.5,1920,1448,3840,3055,8901,3910,491,1930
MONTHLY(M),2016/01,1782,392,1910,1352,3670,2878,8010,3341,500,1935
MONTHLY(M),2016/02,1801,413,1870,1296,3180,2459,7575,2887,421,1802
MONTHLY(M),2016/03,1851,438.5,1920,1412,3180,2387,8412,3086,460,1866
MONTHLY(M),2016/04,1880,374,1950,1370,3530,2337,8884,2992.5,473,1836
MONTHLY(M),2016/05,1703,383,2000,1510,3200,2554,9496,3151,546,1865
MONTHLY(M),2016/06,1272,373.5,1940,1416,2430,2383,8514,2572.5,517,1893
MONTHLY(M),2016/07,1396,409,2020,1524,2720,2777,9012,2841.5,562,1970
MONTHLY(M),2016/08,1681,368.5,1980,1390,2920,2736,9589,3170,509,1927
MONTHLY(M),2016/09,1604,375.5,2020,1408,2740,2777,9351,2887.5,527,1892
MONTHLY(M),2016/10,1824,350,2040,1418,3015,3005,10080,3144,577,2081
MONTHLY(M),2016/11,2067,363.5,2150,1604,3385,2994,10715,3332,549,2088
